"","date_of_fire","latitude","longitude","time_of_fire","satellite","instrument","daynight","mean_elevation","mean_slope","mean_aspect","avg_windspeed","rain","avg_hum","avg_temp"
"1",2015-03-09,-33.9904,18.9618,1233,"Aqua","MODIS","D",333.38998,6.8753605,11.153393,1.48,0,56.12,23.415
"2",2015-03-09,-33.9918,18.9501,1233,"Aqua","MODIS","D",489.04001,24.486502,25.533884,1.48,0,56.12,23.415
"3",2015-03-09,-33.9861,18.96481,1313,"N","VIIRS","D",354.42999,26.104872,241.04404,1.48,0,56.12,23.415
"4",2015-03-09,-33.98401,18.95251,1313,"N","VIIRS","D",285.60001,3.2381499,265.92932,1.48,0,56.12,23.415
"5",2015-03-09,-33.98732,18.9595,1313,"N","VIIRS","D",311.15002,2.8548639,225.0443,1.48,0,56.12,23.415
"6",2015-03-09,-33.98276,18.95795,1313,"N","VIIRS","D",335.88998,5.077714,241.79395,1.48,0,56.12,23.415
"7",2015-03-09,-33.98868,18.95362,1313,"N","VIIRS","D",340.62997,10.873909,93.389938,1.48,0,56.12,23.415
"8",2015-03-09,-33.9757,18.9795,2157,"Terra","MODIS","N",720.60321,37.740047,163.00029,1.48,0,56.12,23.415
"9",2015-03-09,-33.9783,18.966,2157,"Terra","MODIS","N",510.90997,17.178654,237.26468,1.48,0,56.12,23.415
"10",2015-03-09,-33.97527,18.96515,2251,"N","VIIRS","N",579.28998,24.506601,287.61862,1.48,0,56.12,23.415
"11",2015-03-09,-33.9705,18.97299,2251,"N","VIIRS","N",1270.01,49.231461,207.9948,1.48,0,56.12,23.415
"12",2015-03-09,-34.00398,18.96715,2251,"N","VIIRS","N",1024.1799,45.846973,310.36096,1.48,0,56.12,23.415
"13",2015-03-09,-34.00641,18.97556,2251,"N","VIIRS","N",1043.4399,25.5233,61.167027,1.48,0,56.12,23.415
"14",2015-03-09,-34.0038,18.9801,2334,"Aqua","MODIS","N",818.90997,31.811035,31.590475,1.48,0,56.12,23.415
"15",2015-03-09,-33.9704,18.992,2334,"Aqua","MODIS","N",1066.01,59.149666,47.817017,1.48,0,56.12,23.415
"16",2015-03-10,-33.97806,18.98001,32,"N","VIIRS","N",692.20996,31.618298,285.97949,3.1,0,48.34,49.22
"17",2015-03-10,-34.00891,18.97154,32,"N","VIIRS","N",1097.52,19.032387,240.03726,3.1,0,48.34,49.22
"18",2015-03-10,-34.0092,18.97538,32,"N","VIIRS","N",1104.9299,22.459648,38.26709,3.1,0,48.34,49.22
"19",2015-03-10,-33.98996,18.99901,32,"N","VIIRS","N",1224.01,50.495747,217.34975,3.1,0,48.34,49.22
"20",2015-03-10,-33.9725,18.97572,32,"N","VIIRS","N",1257.01,55.679337,162.61076,3.1,0,48.34,49.22
"21",2015-03-10,-34.00927,18.97935,32,"N","VIIRS","N",1046.5499,14.386998,23.010689,3.1,0,48.34,49.22
"22",2015-03-10,-34.00357,18.97025,32,"N","VIIRS","N",1050.48,14.157155,122.24503,3.1,0,48.34,49.22
"23",2015-03-10,-34.00416,18.97803,32,"N","VIIRS","N",873.32996,27.506767,48.272087,3.1,0,48.34,49.22
"24",2015-03-10,-33.99497,18.99563,32,"N","VIIRS","N",811.07996,20.773512,196.42822,3.1,0,48.34,49.22
"25",2015-03-10,-33.97828,18.98284,32,"N","VIIRS","N",802.14001,21.54693,256.86069,3.1,0,48.34,49.22
"26",2015-03-10,-34.00952,18.97953,32,"N","VIIRS","N",1053.15,17.655634,23.835394,3.1,0,48.34,49.22
"27",2015-03-10,-33.97322,18.98555,32,"N","VIIRS","N",1013.01,64.962036,264.60013,3.1,0,48.34,49.22
"28",2015-03-10,-33.97278,18.97949,32,"N","VIIRS","N",928.01001,62.150146,151.42844,3.1,0,48.34,49.22
"29",2015-03-10,-33.97301,18.98263,32,"N","VIIRS","N",789.09161,18.751513,177.74789,3.1,0,48.34,49.22
"30",2015-03-10,-34.00336,18.96734,32,"N","VIIRS","N",1006.18,44.655628,304.42154,3.1,0,48.34,49.22
