OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
1;3007;-33,97668;19,06249;310,75;0,39;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;n;2;286,25;8,35;N;0;1;541,10999;541,10999;541,10999;43,713551;43,713551;43,713551;140,97086;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
2;3472;-33,99823;18,95248;343,27;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;302,41;9,54;N;0;2;489,26001;489,26001;489,26001;27,611845;27,611845;27,611845;350,52142;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
3;2914;-33,96077;19,04634;332,16;0,4;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;n;2;284,8;3,79;N;0;3;735,88;735,88;735,88;24,496489;24,496489;24,496489;40,637318;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
4;3474;-33,98943;18,92007;322,91;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;289,65;2,81;N;0;4;1063,75;1063,75;1063,75;14,963041;14,963041;14,963041;338,44391;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
5;2905;-33,96309;19,05533;318,26;0,4;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;n;2;289,17;22,63;N;0;5;513,59003;513,59003;513,59003;43,783455;43,783455;43,783455;357,66791;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
6;2564;-33,99539;18,90698;301,93;0,55;0,51;2020-12-07 0:00:00;0019;N20;VIIRS;n;2;288,74;2,61;N;0;6;499,17999;499,17999;499,17999;38,195938;38,195938;38,195938;15,716929;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
7;3133;-33,9416;19,0043;303,44;0,71;0,75;2021-02-24 0:00:00;2239;N20;VIIRS;n;2;284,84;8,42;N;0;7;991,79999;991,79999;991,79999;9,4248571;9,4248571;9,4248571;154,95859;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
8;3088;-33,99232;19,05817;340,52;0,44;0,46;2021-02-24 0:00:00;1300;N20;VIIRS;n;2;301,03;30,14;D;0;8;1076,5801;1076,5801;1076,5801;53,99966;53,99966;53,99966;52,540031;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
9;3272;-33,96749;18,95015;340,11;0,42;0,37;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;297,7;145,47;D;0;9;460,75;460,75;460,75;17,078951;17,078951;17,078951;217,7881;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
10;3348;-33,98598;18,94425;353,98;0,42;0,37;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;305,41;12,08;D;0;10;385,89999;385,89999;385,89999;16,669609;16,669609;16,669609;356,42746;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
11;3438;-33,95331;18,92124;328,63;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;291,11;5,45;N;0;11;338,69;338,69;338,69;12,913701;12,913701;12,913701;181,25128;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
12;3139;-33,94413;19,00724;312,66;0,71;0,75;2021-02-24 0:00:00;2239;N20;VIIRS;n;2;285,48;3,07;N;0;12;761,80005;761,80005;761,80005;44,282837;44,282837;44,282837;166,43828;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
13;2921;-33,96247;19,05451;329,45;0,4;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;n;2;290,75;8,22;N;0;13;491,80002;491,80002;491,80002;42,108414;42,108414;42,108414;39,031826;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
14;3249;-34,00238;19,02592;305,63;0,47;0,4;2021-02-26 0:00:00;0000;N20;VIIRS;n;2;282,15;2,13;N;0;14;1030,22;1030,22;1030,22;29,126053;29,126053;29,126053;340,00815;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
15;2535;-33,96164;18,93855;338,51;0,39;0,6;2020-12-05 0:00:00;1319;N20;VIIRS;n;2;288,88;20,36;D;0;15;416,99002;416,99002;416,99002;13,443254;13,443254;13,443254;216,7148;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
16;3495;-33,96112;18,97853;302;0,55;0,43;2021-02-27 0:00:00;2323;N20;VIIRS;n;2;291,82;0,93;N;0;16;905,03998;905,03998;905,03998;30,429375;30,429375;30,429375;16,984642;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
