OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
1;2783;-33,9892;18,9396;339;1,1;1;2021-02-26 0:00:00;1250;Aqua;MODIS;86;6.03;304,8;39,3;D;0;1;518,37;518,37;518,37;21,785433;21,785433;21,785433;346,67963;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
2;2144;-33,9091;19,0201;301,9;1,4;1,2;2019-03-27 0:00:00;2340;Aqua;MODIS;45;6.03;287,8;9,3;N;0;2;464,57999;464,57999;464,57999;31,41099;31,41099;31,41099;44,279263;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
3;2143;-33,9135;19,0258;324,7;1,4;1,2;2019-03-27 0:00:00;2340;Aqua;MODIS;100;6.03;288,6;37,5;N;0;3;850,64996;850,64996;850,64996;23,389917;23,389917;23,389917;336,99597;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
4;302;-33,9734;18,9393;333;4,1;1,9;2015-03-11 0:00:00;0804;Terra;MODIS;85;6.03;296,6;216,2;D;0;4;265,51001;265,51001;265,51001;11,446825;11,446825;11,446825;198,73363;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
5;1394;-33,9122;18,9874;303,3;3,2;1,7;2017-02-21 0:00:00;2315;Aqua;MODIS;54;6.03;292,5;31;N;0;5;729,09003;729,09003;729,09003;43,450184;43,450184;43,450184;311,19119;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
6;2808;-33,9501;18,933;325,6;1;1;2021-02-26 0:00:00;2352;Aqua;MODIS;100;6.03;293,3;23,2;N;0;6;652,45001;652,45001;652,45001;36,43829;36,43829;36,43829;198,46414;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
7;978;-33,9501;18,9981;304,6;1,1;1,1;2016-11-20 0:00:00;2345;Aqua;MODIS;30;6.03;286,8;8,2;N;0;7;1044,6901;1044,6901;1044,6901;11,038606;11,038606;11,038606;92,885391;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
8;288;-33,9594;18,9181;324,1;1,4;1,2;2015-03-11 0:00:00;0017;Aqua;MODIS;100;6.03;292;38,9;N;0;8;204,87999;204,87999;204,87999;10,272147;10,272147;10,272147;205,67403;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
9;2209;-33,9725;18,9463;315;1,1;1;2019-10-31 0:00:00;0858;Terra;MODIS;62;6.03;296,3;10,8;D;0;9;339,49002;339,49002;339,49002;17,82769;17,82769;17,82769;165,1321;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
10;2570;-33,9599;18,9384;331,7;1,6;1,2;2020-12-05 0:00:00;1220;Aqua;MODIS;78;6.03;299,7;47,6;D;0;10;366,16;366,16;366,16;17,18939;17,18939;17,18939;206,58534;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
