OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
1;9563;-34,00279;18,95531;305,72;0,48;0,65;2021-02-26 0:00:00;2251;N;VIIRS;n;2;290,28;2,92;N;0;1;754,22003;754,22003;754,22003;42,788013;42,788013;42,788013;341,6192;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
2;4601;-33,92099;18,97013;352,64;0,44;0,46;2017-02-21 0:00:00;1300;N;VIIRS;n;2;322,62;53,2;D;0;2;531,12;531,12;531,12;27,971586;27,971586;27,971586;203,96863;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
3;963;-33,97788;18,96915;344,22;0,55;0,42;2015-03-11 0:00:00;0013;N;VIIRS;n;2;297,21;24,25;N;0;3;632,89001;632,89001;632,89001;30,690399;30,690399;30,690399;307,10013;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
4;9386;-33,99162;18,89945;330,5;0,63;0,72;2021-02-26 0:00:00;1132;N;VIIRS;n;2;290,19;14,59;D;0;4;441,92999;441,92999;441,92999;40,710808;40,710808;40,710808;205,0901;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
5;9667;-33,97631;19,0007;303,77;0,41;0,61;2021-02-27 0:00:00;0032;N;VIIRS;n;2;287,76;0,93;N;0;5;1295,4249;1295,4249;1295,4249;52,590332;52,590332;52,590332;358,38861;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
6;990;-33,9609;18,92563;310,75;0,54;0,42;2015-03-11 0:00:00;0013;N;VIIRS;n;2;285,11;23,32;N;0;6;261,20001;261,20001;261,20001;11,578734;11,578734;11,578734;237,37712;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
7;9410;-33,98506;18,89926;333,72;0,63;0,72;2021-02-26 0:00:00;1132;N;VIIRS;n;2;289,34;20,06;D;0;7;807,42999;807,42999;807,42999;32,404976;32,404976;32,404976;283,87466;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
8;2987;-33,96923;18,98953;331,76;0,39;0,36;2016-10-28 0:00:00;1236;N;VIIRS;n;2;299,37;2,47;D;0;8;1143,01;1143,01;1143,01;55,674744;55,674744;55,674744;39,440964;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
9;9212;-33,96878;19,03558;333,9;0,55;0,43;2021-02-24 0:00:00;1210;N;VIIRS;n;2;294,38;8,97;D;0;9;1118,08;1118,08;1118,08;25,858561;25,858561;25,858561;170,72757;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
10;1138;-33,98576;18,89251;328,82;0,39;0,36;2015-03-11 0:00:00;2354;N;VIIRS;n;2;293,72;2,89;N;0;10;476,22;476,22;476,22;41,699699;41,699699;41,699699;283,6709;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
