Year;Month;Day;Tx;Tn;RHx;RHn;U2;Rain
2014;1;1;31,66;15,73;83,35;32,7;1,62;0
2014;1;2;34,1;14;92,28;21,5;1,35;0
2014;1;3;32,37;13,54;96,11;40,66;1,24;0
2014;1;4;30,06;16,3;94,85;42,32;1,94;0
2014;1;5;25,91;16,43;89,85;41,16;3,23;3,3
2014;1;6;24,54;15,8;95,66;67,24;3,04;16,51
2014;1;7;24,75;17,7;83,98;56,65;8,66;8,38
2014;1;8;23,5;16,36;94,65;66,84;1,47;2,03
2014;1;9;24,51;15,96;94,21;47,21;1,79;9,4
2014;1;10;25,24;14,62;93,74;33,7;3,45;0
2014;1;11;26,83;10,74;93,47;32,16;1,49;0
2014;1;12;24,04;9,58;96,71;39,37;2,68;0
2014;1;13;27,61;15,52;72,01;12,04;7,85;0
2014;1;14;36,34;14,41;92,13;10,78;1,77;0
2014;1;15;28,9;11,45;94,67;42,07;1,28;0
2014;1;16;28,82;9,77;92,77;23,99;1,18;0
2014;1;17;29,67;11,53;94,97;38,71;1,32;0
2014;1;18;30,81;12,94;94,4;35,17;2,12;0
2014;1;19;30,91;13,3;84,12;36,96;1,42;0
2014;1;20;31,56;10,96;93,26;19,52;4,38;0
2014;1;21;35,01;22,65;57,41;22,52;6,24;0
2014;1;22;38,01;17;89,74;11,72;1,43;0
2014;1;23;28,26;14,92;93,55;32,78;1,45;5,84
2014;1;24;25,09;14,32;94,83;40,42;1,52;0,76
2014;1;25;28,57;13,03;90,69;37,18;2,08;0
2014;1;26;32,46;15,65;69,69;8,89;4,04;0
2014;1;27;34,73;15,51;93,06;28,73;1,14;0
2014;1;28;28,52;17;94,14;44,25;1,65;1,78
2014;1;29;29,71;16,09;92,23;39,75;3,15;0
2014;1;30;29,67;19,42;75,47;39,67;8,93;0
2014;1;31;35,63;21,26;74,55;28,87;4,95;0
2014;2;1;28,75;14,48;88,32;40,65;1,69;0
2014;2;2;28,5;13,25;91,4;28,86;5,99;0
2014;2;3;34,88;16,74;64,56;17,96;3,14;0
2014;2;4;30,78;13,07;90,34;39,08;2,06;0
2014;2;5;28,66;11,12;92,01;33,25;3,37;0
2014;2;6;30,37;14,45;89,49;30,94;1,89;0
2014;2;7;27,78;14,35;93,21;37,52;2,04;6,35
2014;2;8;26,11;12,57;94,06;36,87;1,54;0
2014;2;9;26,78;11,15;93,09;33,88;1,48;0
2014;2;10;30,78;13,12;94,59;24,39;1,15;0
2014;2;11;31,98;10,41;91,62;13,54;1,16;0
2014;2;12;32,05;11,87;95;30,85;1,2;0
2014;2;13;29,95;14,64;94,76;42,28;4,24;0
2014;2;14;29,67;19,34;76,33;48,1;7,83;0
2014;2;15;38,06;21,82;76,95;23,62;4,28;0
2014;2;16;38,17;24,48;66,23;23,51;5;0
2014;2;17;37,86;19,26;91,34;20,65;1,81;0
2014;2;18;30,7;19,4;78,27;43,52;8,74;0
2014;2;19;31,61;16,85;92,34;36,28;2,48;8,13
2014;2;20;22,88;14,69;89,73;44,21;3,42;0
2014;2;21;27,58;16;66,99;31,67;7,05;0
2014;2;22;32,8;13,22;85,12;20,85;1,92;0
2014;2;23;30,6;15,77;87,83;32,89;5,97;0
2014;2;24;26,99;20,51;74,82;49,77;9,66;0
2014;2;25;29,19;20,44;69,11;37,81;9,18;0
2014;2;26;38;21;64,46;13,49;4,88;0
2014;2;27;36,79;19,61;61,09;18,51;2;0
2014;2;28;29,24;16,72;87,08;39,63;2,16;1,02
2014;2;29;--;--;--;--;--;--
2014;2;30;--;--;--;--;--;--
2014;2;31;--;--;--;--;--;--
2014;3;1;26,58;13,63;94,07;42,16;1,73;0,25
2014;3;2;25,83;12,87;95,31;45,16;2,31;29,72
2014;3;3;23,17;13,12;94,69;45,55;5,54;0
2014;3;4;28,46;17,53;70,97;37,43;7,23;0
2014;3;5;33,03;15,22;84,66;27,03;3,17;0
2014;3;6;30,83;16,47;91,73;39,29;1,42;0
2014;3;7;27,54;15,97;95,33;41,54;1,69;0
2014;3;8;22,95;12,95;85,13;44,9;3,35;0
2014;3;9;21,43;14,3;76,86;48,92;8,67;0
2014;3;10;27,61;17,24;66,36;36,96;7,75;0
2014;3;11;26,9;16,82;70,56;38,38;5,74;0
2014;3;12;22,84;14,64;83,57;33,54;6,24;0
2014;3;13;29,51;9,03;63,12;12,71;2,66;0
2014;3;14;29,8;10,2;67,93;24,52;2,61;0
2014;3;15;28,85;10,75;87,26;33,32;1,99;0
2014;3;16;28,14;9,97;94,77;40,83;1,06;0
2014;3;17;29,19;10,55;95,14;33,58;3,06;0
2014;3;18;27,67;12,59;82,66;40,17;1,64;7,87
2014;3;19;20,21;12,36;94,97;70,38;1,47;9,14
2014;3;20;24,96;11,01;93,33;42,9;0,9;0
2014;3;21;32,96;10,02;94,39;21,05;0,96;0
2014;3;22;24,62;11,82;91,03;49,96;1,8;0
2014;3;23;25,16;13,19;93,06;49,27;1,76;3,05
2014;3;24;20,23;14,88;95,05;84,31;0,86;14,48
2014;3;25;18,36;13,42;95,05;64,24;3,2;19,05
2014;3;26;20,17;12,77;94,93;61,31;2,98;4,32
2014;3;27;26,83;13,83;95,57;44,99;0,72;0,25
2014;3;28;29,9;11,92;96,11;30,68;1,1;0
2014;3;29;25,1;9,71;96,59;44,31;1,33;0,76
2014;3;30;24,64;11,22;94,85;49,49;0,97;0
2014;3;31;23,18;9,27;96,25;44,92;1,26;19,05
2014;4;1;17,42;10,46;95,55;56,57;2,31;27,94
2014;4;2;17,83;9,92;94,93;54,66;1,76;3,3
2014;4;3;21,87;11,15;92,28;40,44;2,81;0
2014;4;4;22,02;13,69;69,48;36,6;6,38;0
2014;4;5;27,81;16,42;61,47;22,2;6,91;0
2014;4;6;34,25;16,93;62,79;14,12;2,19;0
2014;4;7;32,64;15,07;83,11;20,5;1,18;0
2014;4;8;32,25;15,3;95,78;26,62;1,42;0
2014;4;9;33,37;16,42;90,73;23,98;1,24;0
2014;4;10;35,92;19,16;78,64;15,22;1,34;0
2014;4;11;35,99;17,8;74,87;14,37;1,36;0
2014;4;12;36,91;19,54;58,9;12,46;2;0
2014;4;13;34,52;18,36;65,46;15,77;1,79;0
2014;4;14;23,99;14,44;90,23;51,36;3,7;0
2014;4;15;21,38;13,9;67,88;37,95;9,47;0
2014;4;16;27,27;14,69;64,04;28,62;4,65;0
2014;4;17;30,82;13,36;78,89;20,3;1,4;0
2014;4;18;26,27;8,71;93,65;38,33;1,44;0
2014;4;19;28,42;12,23;85,99;35,61;2,41;0
2014;4;20;28,59;12;78,92;27,12;1,59;0
2014;4;21;25,31;16,24;75,43;43,45;5,32;0
2014;4;22;22,28;14,47;78,5;48,98;5,91;0
2014;4;23;17,98;12,6;76,24;49,05;5,62;0
2014;4;24;23,28;8,61;87,49;31,7;2,78;0
2014;4;25;24,33;6,77;86,18;18,03;1,42;0,25
2014;4;26;21,45;7,6;92,17;21,87;2,67;0,25
2014;4;27;25,02;10,51;74,72;22,73;3,77;0
2014;4;28;25,86;7,97;85,33;14,29;1,21;0
2014;4;29;19,53;7,14;94,28;56,59;0,87;7,11
2014;4;30;22,28;8,06;95,45;39,71;1,03;0
2014;4;31;--;--;--;--;--;--
2014;5;1;28,44;7,16;93,17;13,56;1,18;0
2014;5;2;28,17;13,24;87,05;21,92;1,65;0
2014;5;3;27,36;8,79;91,33;16,09;1,02;0
2014;5;4;18,48;9,88;94,96;31,69;2,27;20,83
